period_year,period_month,ENTRY_EXIT,LAUNCH_PRODUCT,PRICE_ACTION,RECALL_QUALITY,CAPACITY_SUPPLY,DEALER_NETWORK,EV_POLICY_INFRA
2019,1,0,3,0,0,1,0,0
2019,2,0,1,0,1,0,0,0
2019,3,0,3,0,0,1,0,2
2019,4,0,0,0,0,1,0,0
2022,3,0,0,0,0,0,0,0
2022,4,0,2,0,0,1,0,2
2022,5,0,2,0,0,1,0,0
2022,6,0,3,0,0,0,0,1
2022,7,0,5,0,0,0,0,3
2022,8,0,1,0,0,0,0,2
2022,9,1,3,0,0,0,0,0
2022,10,0,1,0,0,4,0,3
2022,11,1,1,0,0,1,0,0
2022,12,1,2,0,0,0,0,0
2023,1,0,0,0,0,0,0,0
2023,2,0,2,0,0,0,0,1
2023,3,0,0,1,0,0,0,2
2023,4,0,7,0,0,0,0,1
2023,5,2,9,0,0,0,0,4
2023,6,0,4,0,0,0,0,0
2023,7,0,3,0,0,0,0,1
2023,8,0,5,0,0,0,0,0
2023,9,0,1,0,0,0,0,1
2023,10,0,3,0,0,0,0,1
2023,11,0,7,1,0,0,0,2
2023,12,7,18,0,3,0,0,6
2024,1,3,36,1,1,0,0,6
2024,2,4,30,2,0,0,0,5
2024,3,6,29,2,5,0,0,6
2024,4,4,32,0,1,1,1,3
2024,5,1,6,2,0,0,1,2
2024,6,0,2,0,0,0,0,2
2024,7,0,2,0,1,0,0,0
2024,8,0,3,0,0,0,0,0
2024,9,0,1,0,0,0,0,1
2024,10,1,3,0,0,0,0,1
2024,11,0,1,0,1,0,0,4
2024,12,0,1,0,0,0,0,0
2025,1,0,1,0,0,0,0,0
2025,2,0,1,0,1,0,0,1
2025,3,0,1,2,0,0,1,1
2025,4,0,4,2,0,0,1,1
2025,5,0,7,1,2,0,0,1
2025,6,1,12,2,1,0,0,4
2025,7,1,19,1,5,0,1,0
2025,8,7,28,1,3,1,2,5
2025,9,9,38,1,7,0,0,6
2025,10,10,35,4,6,0,2,8
2025,11,15,46,3,3,1,1,6
2025,12,7,23,3,10,0,0,10
2026,1,1,25,4,4,0,0,6
