period_year,period_month,ENTRY_EXIT,LAUNCH_PRODUCT,PRICE_ACTION,RECALL_QUALITY,CAPACITY_SUPPLY,DEALER_NETWORK,EV_POLICY_INFRA,month_id,total_sales_units
2019,1,0,3,0,0,1,0,0,2019-01,42374.0
2019,2,0,1,0,1,0,0,0,2019-02,
2019,3,0,3,0,0,1,0,2,2019-03,
2019,4,0,0,0,0,1,0,0,2019-04,
2022,3,0,0,0,0,0,0,0,2022-03,50157.0
2022,4,0,2,0,0,1,0,2,2022-04,37107.0
2022,5,0,2,0,0,1,0,0,2022-05,39177.0
2022,6,0,3,0,0,0,0,1,2022-06,41019.0
2022,7,0,5,0,0,0,0,3,2022-07,43593.0
2022,8,0,1,0,0,0,0,2,2022-08,47420.0
2022,9,1,3,0,0,0,0,0,2022-09,47786.0
2022,10,0,1,0,0,4,0,3,2022-10,45966.0
2022,11,1,1,0,0,1,0,0,2022-11,49413.0
2022,12,1,2,0,0,0,0,0,2022-12,41783.0
2023,1,0,0,0,0,0,0,0,2023-01,43509.0
2023,2,0,2,0,0,0,0,1,2023-02,
2023,3,0,0,1,0,0,0,2,2023-03,50157.0
2023,4,0,7,0,0,0,0,1,2023-04,
2023,5,2,9,0,0,0,0,4,2023-05,37107.0
2023,6,0,4,0,0,0,0,0,2023-06,46810.0
2023,7,0,3,0,0,0,0,1,2023-07,43389.0
2023,8,0,5,0,0,0,0,0,2023-08,45679.0
2023,9,0,1,0,0,0,0,1,2023-09,46021.0
2023,10,0,3,0,0,0,0,1,2023-10,45445.0
2023,11,0,7,1,0,0,0,2,2023-11,43281.0
2023,12,7,18,0,3,0,0,6,2023-12,40329.0
2024,1,3,36,1,1,0,0,6,2024-01,41636.0
2024,2,4,30,2,0,0,0,5,2024-02,44749.0
2024,3,6,29,2,5,0,0,6,2024-03,44237.0
2024,4,4,32,0,1,1,1,3,2024-04,
2024,5,1,6,2,0,0,1,2,2024-05,38172.0
2024,6,0,2,0,0,0,0,2,2024-06,40072.0
2024,7,0,2,0,1,0,0,0,2024-07,44229.0
2024,8,0,3,0,0,0,0,0,2024-08,43588.0
2024,9,0,1,0,0,0,0,1,2024-09,44081.0
2024,10,1,3,0,0,0,0,1,2024-10,45970.0
2024,11,0,1,0,1,0,0,4,2024-11,48585.0
2024,12,0,1,0,0,0,0,0,2024-12,41273.0
2025,1,0,1,0,0,0,0,0,2025-01,46398.0
2025,2,0,1,0,1,0,0,1,2025-02,47978.0
2025,3,0,1,2,0,0,1,1,2025-03,49493.0
2025,4,0,4,2,0,0,1,1,2025-04,42401.0
2025,5,0,7,1,2,0,0,1,2025-05,45308.0
2025,6,1,12,2,1,0,0,4,2025-06,47294.0
2025,7,1,19,1,5,0,1,0,2025-07,51383.0
2025,8,7,28,1,3,1,2,5,2025-08,51880.0
2025,9,9,38,1,7,0,0,6,2025-09,54700.0
2025,10,10,35,4,6,0,2,8,2025-10,55956.0
2025,11,15,46,3,3,1,1,6,2025-11,54896.0
2025,12,7,23,3,10,0,0,10,2025-12,48983.0
2026,1,1,25,4,4,0,0,6,2026-01,
