variable,coef,std_err,t_value,n_obs,r2
Intercept,42849.81165181621,1368.2681041454764,31.316824182331708,43,0.8815731908380311
events_t,-41.16854117621463,38.10129539017263,-1.0805024016803673,43,0.8815731908380311
events_t_minus_1,84.15140219566025,39.42913840160674,2.1342440034710743,43,0.8815731908380311
month_2,1162.5019458219365,1844.730664869776,0.6301743490039508,43,0.8815731908380311
month_3,4784.755663909281,1531.5784402461236,3.1240683063809476,43,0.8815731908380311
month_4,-5380.0607404439315,1880.446655147903,-2.8610546998052295,43,0.8815731908380311
month_5,-4255.194123734986,1564.4963740375865,-2.719849144011347,43,0.8815731908380311
month_6,-27.240629305462445,1543.3450105399806,-0.017650382201923588,43,0.8815731908380311
month_7,2114.771378575131,1531.0682919409714,1.381239092799829,43,0.8815731908380311
month_8,3562.3170377907823,1531.2450549634132,2.3264186396839652,43,0.8815731908380311
month_9,4344.174917242778,1533.5380201192606,2.8327794030857736,43,0.8815731908380311
month_10,4433.806320027392,1538.1331459652881,2.882589411493933,43,0.8815731908380311
month_11,4993.319886420156,1545.4150519524012,3.2310542595737255,43,0.8815731908380311
month_12,-1241.76072604885,1556.4952850127017,-0.7977927964225839,43,0.8815731908380311
year_2023,-702.6195735113616,913.0929334038602,-0.7694940436042051,43,0.8815731908380311
year_2024,-2208.410890482046,933.914448956643,-2.3646822178939986,43,0.8815731908380311
year_2025,4682.932201567717,1006.1659524090718,4.6542344136723495,43,0.8815731908380311
